algo,test,k,num-threads,time,space
kiss-1,chm13v2.0,2,32,28.044341402,16515616768
kiss-1,chm13v2.0,4,32,28.043160549000003,16515506176
kiss-1,chm13v2.0,8,32,28.054980466000004,16515559424
kiss-1,chm13v2.0,16,32,28.764612075000002,16515448832
kiss-1,chm13v2.0,32,32,28.074284011000003,16515592192
kiss-1,chm13v2.0,64,32,27.91035978,16515579904
kiss-1,chm13v2.0,128,32,28.115006999000002,16515592192
kiss-1,chm13v2.0,-1,32,54.606197284000004,16515457024
kiss-1,mouse,2,32,29.139118318,14472990720
kiss-1,mouse,4,32,28.814490181,14472937472
kiss-1,mouse,8,32,28.918373983000002,14472974336
kiss-1,mouse,16,32,28.90136726,14472986624
kiss-1,mouse,32,32,28.986145125,14472884224
kiss-1,mouse,64,32,29.095785315,14472912896
kiss-1,mouse,128,32,29.074301672,14472728576
kiss-1,mouse,-1,32,29.459837937000003,14472880128
kiss-1,zebrafish,2,32,15.517903899,8965488640
kiss-1,zebrafish,4,32,15.530796354000001,8965484544
kiss-1,zebrafish,8,32,15.445054977000002,8965525504
kiss-1,zebrafish,16,32,15.621283463000001,8965484544
kiss-1,zebrafish,32,32,15.588840297,8965382144
kiss-1,zebrafish,64,32,15.434604902,8965378048
kiss-1,zebrafish,128,32,15.647926648,8965447680
kiss-1,zebrafish,-1,32,21.096986688,8965468160
kiss-1,chm13v2.0,2,32,29.004833026000004,16515448832
kiss-1,chm13v2.0,4,32,28.533842357,16515481600
kiss-1,chm13v2.0,8,32,28.378541077,16515452928
kiss-1,chm13v2.0,16,32,28.562840881000003,16515272704
kiss-1,chm13v2.0,32,32,28.485186664,16515481600
kiss-1,chm13v2.0,64,32,28.320951672000003,16515436544
kiss-1,chm13v2.0,128,32,28.719937666000003,16515272704
kiss-1,chm13v2.0,-1,32,54.12230610100001,16515592192
kiss-1,mouse,2,32,29.038947869,14472949760
kiss-1,mouse,4,32,29.031068922000003,14472912896
kiss-1,mouse,8,32,28.848341834000003,14472777728
kiss-1,mouse,16,32,28.899340812000002,14472867840
kiss-1,mouse,32,32,28.986374327,14472974336
kiss-1,mouse,64,32,29.073496048000003,14472777728
kiss-1,mouse,128,32,28.92401539,14472986624
kiss-1,mouse,-1,32,29.647659512,14472953856
kiss-1,zebrafish,2,32,15.501815516,8965484544
kiss-1,zebrafish,4,32,15.683109345,8965410816
kiss-1,zebrafish,8,32,15.540448478000002,8965480448
kiss-1,zebrafish,16,32,15.472003344,8965484544
kiss-1,zebrafish,32,32,15.552648636,8965517312
kiss-1,zebrafish,64,32,15.502143037000002,8965443584
kiss-1,zebrafish,128,32,15.594635541,8965521408
kiss-1,zebrafish,-1,32,21.060389994,8965468160
kiss-1,chm13v2.0,2,32,28.586008544000002,16515293184
kiss-1,chm13v2.0,4,32,28.612591979,16515526656
kiss-1,chm13v2.0,8,32,28.356117155000003,16515481600
kiss-1,chm13v2.0,16,32,28.489764987,16515461120
kiss-1,chm13v2.0,32,32,28.486693047000003,16515452928
kiss-1,chm13v2.0,64,32,28.364251603000003,16515375104
kiss-1,chm13v2.0,128,32,28.515188529000003,16515428352
kiss-1,chm13v2.0,-1,32,54.52820229500001,16515485696
kiss-1,mouse,2,32,29.130245040000002,14473019392
kiss-1,mouse,4,32,28.943825125,14472953856
kiss-1,mouse,8,32,28.940732226,14472982528
kiss-1,mouse,16,32,28.921794533000003,14472974336
kiss-1,mouse,32,32,28.991370955,14472994816
kiss-1,mouse,64,32,28.912047005,14472957952
kiss-1,mouse,128,32,29.043383379,14472982528
kiss-1,mouse,-1,32,29.446102191,14472962048
kiss-1,zebrafish,2,32,15.480537974,8965378048
kiss-1,zebrafish,4,32,15.512546572000002,8965472256
kiss-1,zebrafish,8,32,15.512644771000001,8965484544
kiss-1,zebrafish,16,32,15.508175022000001,8965500928
kiss-1,zebrafish,32,32,15.580804740000001,8965410816
kiss-1,zebrafish,64,32,15.604724578,8965378048
kiss-1,zebrafish,128,32,15.660165302000001,8965378048
kiss-1,zebrafish,-1,32,21.064654496000003,8965488640
kiss-2,chm13v2.0,2,32,34.084414693,16058212352
