SA_INTV,pattern_length,fmtree,naive
1,12,8.672000000000001e-06,7.682e-06
1,18,7.476e-06,6.232000000000001e-06
1,24,6.237000000000001e-06,5.211000000000001e-06
1,30,5.247e-06,4.39e-06
1,12,5.1260000000000006e-06,4.128e-06
1,18,5.045e-06,4.1050000000000005e-06
1,24,5.0070000000000005e-06,4.121e-06
1,30,5.042e-06,4.068e-06
1,12,4.994e-06,4.0710000000000005e-06
1,18,5.259e-06,4.103e-06
1,24,5.411e-06,4.1100000000000005e-06
1,30,5.5420000000000005e-06,4.104e-06
1,12,6.769000000000001e-06,4.108e-06
1,18,5.988e-06,4.165e-06
1,24,5.473e-06,4.121e-06
1,30,5.037e-06,4.081e-06
1,12,1.0554000000000001e-05,8.422e-06
1,18,5.1360000000000005e-06,4.108e-06
1,24,5.582e-06,4.113e-06
1,30,5.455e-06,4.0930000000000005e-06
2,12,3.019963263,32.018016088
2,18,0.701237997,8.251219764
2,24,0.31120900900000004,2.312268285
2,30,0.236742522,0.776962035
2,12,3.0336558570000003,31.992338311
2,18,0.6887901510000001,8.235226484
2,24,0.313979691,2.316499235
2,30,0.23614004100000002,0.789176121
2,12,2.532552162,31.899464851
2,18,0.826838638,8.238615225
2,24,0.35450327000000004,2.3448820560000003
2,30,0.25415132900000004,0.8145313230000001
2,12,2.606876293,32.068188072000005
2,18,0.712141467,8.282932395000001
2,24,0.33906942700000003,2.361820351
2,30,0.284309444,0.844556544
2,12,2.537550958,31.918917757000003
2,18,0.8254402420000001,8.208447288
2,24,0.353565703,2.294061161
2,30,0.245742542,0.789031613
3,12,2.9112578,68.298905793
3,18,0.732588627,17.514512925000002
3,24,0.349025433,4.768520691
3,30,0.250736834,1.483743261
3,12,3.42017389,68.356024187
3,18,0.868348552,17.51068235
3,24,0.333756651,4.765348202
3,30,0.26633278800000004,1.476476616
3,12,3.389591513,68.26898084300001
3,18,0.864661059,17.529198877000002
3,24,0.383002306,4.770509384
3,30,0.251681188,1.4857172870000002
3,12,2.898347776,68.22056646
3,18,0.8644202590000001,17.492938383000002
3,24,0.35050225700000004,4.76450172
3,30,0.26459924300000004,1.474961753
3,12,3.398971781,68.250650588
3,18,0.8718065920000001,17.516627312
3,24,0.383340624,4.772522725
3,30,0.276217973,1.4750830750000001
4,12,4.31387137,101.785446182
4,18,0.808456385,25.72765838
4,24,0.382813536,6.939474731000001
4,30,0.286491633,2.073854669
4,12,3.871918806,101.776082435
4,18,0.8188286570000001,25.787095015000002
4,24,0.41192198900000004,6.934383255
4,30,0.278935451,2.0849899410000003
4,12,3.8409077430000003,101.75315822
4,18,0.943365788,25.753321143
4,24,0.382708808,6.921589411
4,30,0.28673479900000004,2.078031684
4,12,3.8628021820000003,102.07498311100001
4,18,0.946225983,25.663288267000002
4,24,0.37453414100000004,6.942187476000001
4,30,0.29042453100000004,2.0690617860000002
4,12,3.8271757650000002,101.625234277
4,18,0.941765316,25.774276133
4,24,0.40315571,6.918837817
4,30,0.288547804,2.073083488
5,12,6.018739052000001,141.25587209
5,18,1.093194411,35.163218702
