algo,test,k,time,space
kiss,example,2,0.11674572700000001,21725148
kiss,example,4,0.10588225100000001,21725148
kiss,example,8,0.10418790700000001,21725148
kiss,example,16,0.10340771100000001,21724860
kiss,example,32,0.113596765,21725148
kiss,example,64,0.105827587,21725148
kiss,example,128,0.09594029100000001,21725148
kiss,example,256,0.11926520800000001,21725148
kiss,example,512,0.12613257,21725148
kiss,example,1024,0.100388735,21725148
kiss,example,2048,0.105019019,21725148
kiss,example,0,0.102710122,21724860
kiss,hs37d5,2,45.698148741000004,16854241757
kiss,hs37d5,4,50.267979733000004,16854241757
kiss,hs37d5,8,67.178190412,16854241757
kiss,hs37d5,16,72.27252657400001,16854241757
kiss,hs37d5,32,73.77369815200001,16854241757
kiss,hs37d5,64,75.00123471500001,16854241757
kiss,hs37d5,128,75.387597598,16854241757
kiss,hs37d5,256,75.65997727,16854241757
kiss,hs37d5,512,75.605537349,16854241757
kiss,hs37d5,1024,76.17607860400001,16854241757
kiss,hs37d5,2048,76.23283604000001,16854241757
kiss,hs37d5,0,97.032607525,16854241757
kiss,dna,2,1.4124469750000002,558610208
kiss,dna,4,1.4369417,558610208
kiss,dna,8,1.6333284240000001,558610208
kiss,dna,16,1.581569851,558610208
kiss,dna,32,1.587495303,558609920
kiss,dna,64,1.625392262,558610208
kiss,dna,128,1.7276003610000001,558609920
kiss,dna,256,1.913372191,558609920
kiss,dna,512,2.094995834,558609920
kiss,dna,1024,2.417199031,558609920
kiss,dna,2048,2.578813482,558609920
kiss,dna,0,2.6767885270000003,558610208
kiss,protein,2,1.666338571,558611200
kiss,protein,4,1.8279623690000002,558611200
kiss,protein,8,1.885883199,558611200
kiss,protein,16,1.806397714,558610912
kiss,protein,32,1.826434013,558611200
kiss,protein,64,1.9123887190000002,558611200
kiss,protein,128,1.9996936330000001,558610912
kiss,protein,256,2.159727947,558611200
kiss,protein,512,2.448291663,558610912
kiss,protein,1024,2.739021799,558610912
kiss,protein,2048,2.913526188,558610912
kiss,protein,0,2.976266749,558610912
kiss,mouse,2,40.307709384000006,14397600818
kiss,mouse,4,44.409097023,14397600818
kiss,mouse,8,59.43525471900001,14397600818
kiss,mouse,16,63.078134744,14397600818
kiss,mouse,32,64.10587323200001,14397601170
kiss,mouse,64,64.952052764,14397600818
kiss,mouse,128,65.854330612,14397600818
kiss,mouse,256,66.08143617200001,14397600818
kiss,mouse,512,66.710989619,14397600818
kiss,mouse,1024,66.761779827,14397600818
kiss,mouse,2048,67.015720293,14397600818
kiss,mouse,0,67.493843709,14397600818
kiss,zebrafish,2,25.63070798,9775524823
kiss,zebrafish,4,28.125036024000003,9775524823
kiss,zebrafish,8,37.033602139,9775524823
kiss,zebrafish,16,37.390719542,9775524823
kiss,zebrafish,32,38.573194128000004,9775524823
kiss,zebrafish,64,38.967040961,9775524823
kiss,zebrafish,128,39.539796869,9775524823
kiss,zebrafish,256,39.805121564000004,9775524823
kiss,zebrafish,512,40.122367908,9775524823
kiss,zebrafish,1024,40.939819895,9775524823
kiss,zebrafish,2048,41.616879680000004,9775524823
kiss,zebrafish,0,58.927399083000005,9775524823
kiss,african_clawed_frog,2,46.065294373,14751593695
kiss,african_clawed_frog,4,49.892263315,14751593695
kiss,african_clawed_frog,8,62.511732627,14751593695
kiss,african_clawed_frog,16,66.57293949700001,14751593695
kiss,african_clawed_frog,32,67.768083522,14751593695
kiss,african_clawed_frog,64,67.827312303,14751593695
kiss,african_clawed_frog,128,68.346519192,14751593695
kiss,african_clawed_frog,256,68.746821267,14751593695
kiss,african_clawed_frog,512,68.83918546000001,14751593695
kiss,african_clawed_frog,1024,68.567004291,14751593695
