algo,test,k,time,space
kiss,dna,2,1.469196444,558740992
kiss,dna,4,1.419554047,558741280
kiss,dna,8,1.6205995370000001,558740992
kiss,dna,16,1.4371608020000002,558740992
kiss,dna,32,1.504553027,558741280
kiss,dna,64,1.509340777,558741280
kiss,dna,128,1.602162587,558740992
kiss,dna,256,1.79179605,558740992
kiss,dna,512,2.016801414,558740992
kiss,dna,1024,2.369208239,558741280
kiss,dna,2048,2.5404712050000002,558741280
kiss,dna,0,2.608004386,558740992
kiss,protein,2,1.5708178910000001,558742272
kiss,protein,4,1.8152622390000002,558741984
kiss,protein,8,1.9233032120000002,558742272
kiss,protein,16,1.7613316110000001,558742272
kiss,protein,32,1.766281312,558742272
kiss,protein,64,1.8349315050000001,558741984
kiss,protein,128,1.9639165140000001,558742272
kiss,protein,256,2.1489484340000002,558741984
kiss,protein,512,2.4718034980000003,558741984
kiss,protein,1024,2.7945797740000002,558742272
kiss,protein,2048,2.9723042840000002,558741984
kiss,protein,0,3.072150891,558741984
kiss,hs37d5,2,43.642888904,16854372829
kiss,hs37d5,4,49.260289868,16854372829
kiss,hs37d5,8,62.114064849,16854372829
kiss,hs37d5,16,61.208679314,16854372829
kiss,hs37d5,32,62.513616826,16854372829
kiss,hs37d5,64,63.280080638,16854372829
kiss,hs37d5,128,63.39098005700001,16854372829
kiss,hs37d5,256,63.832139625,16854372829
kiss,hs37d5,512,63.96983496000001,16854372829
kiss,hs37d5,1024,64.32067265900001,16854372829
kiss,hs37d5,2048,64.252860103,16854372829
kiss,hs37d5,0,87.15706096000001,16854372829
kiss,mouse,2,38.432379052,14397731890
kiss,mouse,4,43.422828736,14397731890
kiss,mouse,8,54.624412784,14397731890
kiss,mouse,16,53.140766298,14397731890
kiss,mouse,32,54.202767206000004,14397731890
kiss,mouse,64,55.29573382900001,14397731890
kiss,mouse,128,55.129691693000005,14397731890
kiss,mouse,256,56.030325109,14397731890
kiss,mouse,512,56.31066965,14397731890
kiss,mouse,1024,56.29125891100001,14397731890
kiss,mouse,2048,56.377496892,14397731890
kiss,mouse,0,56.618724348,14397731890
kiss,zebrafish,2,24.40835677,9775655895
kiss,zebrafish,4,27.424504923,9775655895
kiss,zebrafish,8,34.3001073,9775655895
kiss,zebrafish,16,31.720820761000002,9775655895
kiss,zebrafish,32,32.640903893,9775655895
kiss,zebrafish,64,33.259999017000005,9775655895
kiss,zebrafish,128,33.574522314,9775655895
kiss,zebrafish,256,33.999232471,9775655895
kiss,zebrafish,512,34.421079897000006,9775655895
kiss,zebrafish,1024,35.030933081,9775655895
kiss,zebrafish,2048,35.372187984,9775655895
kiss,zebrafish,0,53.147556414,9775655895
kiss,african_clawed_frog,2,43.837267992,14751724767
kiss,african_clawed_frog,4,49.402312515000006,14751724767
kiss,african_clawed_frog,8,59.58149934,14751724767
kiss,african_clawed_frog,16,57.684317353000004,14751724767
kiss,african_clawed_frog,32,58.300704174,14751724767
kiss,african_clawed_frog,64,60.046340141,14751724767
kiss,african_clawed_frog,128,59.473331905,14751724767
kiss,african_clawed_frog,256,59.204689347000006,14751724767
kiss,african_clawed_frog,512,58.728489765000006,14751724767
kiss,african_clawed_frog,1024,59.155414629000006,14751724767
kiss,african_clawed_frog,2048,59.163675587,14751724767
kiss,african_clawed_frog,0,59.24508573000001,14751724767
kiss,cat,2,36.119651124,14297649076
kiss,cat,4,40.509546437000004,14297649076
kiss,cat,8,51.057096681000004,14297649076
kiss,cat,16,50.468290006000004,14297649076
kiss,cat,32,51.181220216,14297649076
kiss,cat,64,51.738253209,14297649076
kiss,cat,128,51.809200227000005,14297649076
kiss,cat,256,51.641021646000006,14297649076
kiss,cat,512,51.541254361,14297649076
kiss,cat,1024,51.824364118000005,14297649076
kiss,cat,2048,51.656458379,14297649076
kiss,cat,0,51.543140325,14297649076
kiss,chicken,2,15.381565542,5996845574
kiss,chicken,4,17.345966011,5996845286
kiss,chicken,8,21.700844837,5996845574
kiss,chicken,16,20.955133937000003,5996845286
kiss,chicken,32,21.198468942,5996845574
kiss,chicken,64,21.229614123,5996845574
kiss,chicken,128,21.123140367,5996845574
kiss,chicken,256,21.747427138000003,5996845574
kiss,chicken,512,21.146199815000003,5996845286
kiss,chicken,1024,21.200528542,5996845286
kiss,chicken,2048,21.293684537,5996845286
kiss,chicken,0,21.251734056,5996845574
kiss,dog,2,33.257495877000004,13466105056
kiss,dog,4,37.709500441,13466105056
kiss,dog,8,47.296587073000005,13466105056
kiss,dog,16,46.834649256000006,13466105056
kiss,dog,32,47.611485645,13466105056
kiss,dog,64,47.739452972,13466105056
kiss,dog,128,48.234657759,13466105056
kiss,dog,256,47.930174218000005,13466105056
kiss,dog,512,47.985328088,13466105056
kiss,dog,1024,47.980899108,13466105056
kiss,dog,2048,48.141378851000006,13466105056
kiss,dog,0,47.914152867000006,13466105056
kiss,marmoset,2,41.222535581,15462259335
kiss,marmoset,4,46.463236298000005,15462259335
kiss,marmoset,8,58.034719128000006,15462259335
kiss,marmoset,16,57.621668613000004,15462259335
kiss,marmoset,32,58.927563233,15462259335
kiss,marmoset,64,59.413794375,15462259335
kiss,marmoset,128,59.72175738200001,15462259335
kiss,marmoset,256,59.966776829000004,15462259335
kiss,marmoset,512,59.689231601,15462259335
kiss,marmoset,1024,59.953542191000004,15462259335
kiss,marmoset,2048,59.600325465000004,15462259335
kiss,marmoset,0,59.897955041,15462259335
kiss,dna,2,1.4659056890000002,558740992
kiss,dna,4,1.430639573,558740992
kiss,dna,8,1.618421839,558741280
kiss,dna,16,1.4626148460000001,558741280
kiss,dna,32,1.477064259,558740992
kiss,dna,64,1.529263604,558741280
kiss,dna,128,1.5957638280000002,558740992
kiss,dna,256,1.798846391,558740992
kiss,dna,512,2.063299517,558740992
kiss,dna,1024,2.3499139930000004,558741280
kiss,dna,2048,2.5530821610000003,558741280
kiss,dna,0,2.6526792830000003,558741280
kiss,protein,2,1.6334795100000001,558742272
kiss,protein,4,1.8536977280000002,558742272
kiss,protein,8,1.897883119,558741984
kiss,protein,16,1.7625596120000002,558742272
kiss,protein,32,1.805578904,558742272
kiss,protein,64,1.829803343,558741984
kiss,protein,128,1.960756595,558742272
kiss,protein,256,2.167659322,558741984
kiss,protein,512,2.491638349,558741984
kiss,protein,1024,2.7768257120000004,558742272
kiss,protein,2048,2.979853879,558742272
kiss,protein,0,3.043275275,558741984
kiss,hs37d5,2,43.752885059,16854372829
kiss,hs37d5,4,49.305779443000006,16854372829
kiss,hs37d5,8,61.931899292000004,16854372829
