algo,test,k,time
kiss,dna,4,7.0955485110000005
kiss,dna,8,3.6432914640000003
kiss,dna,16,2.523286698
kiss,dna,32,1.586985286
kiss,dna,64,1.4535818500000002
kiss,dna,128,1.29102635
kiss,protein,4,8.812437134000001
kiss,protein,8,4.504937877000001
kiss,protein,16,2.856906034
kiss,protein,32,1.908372109
kiss,protein,64,1.6663545350000002
kiss,protein,128,1.3607498690000002
kiss,hs37d5,4,218.256010553
kiss,hs37d5,8,125.72760091800001
kiss,hs37d5,16,105.607769833
kiss,hs37d5,32,59.55065496300001
kiss,hs37d5,64,57.990070622000005
kiss,hs37d5,128,56.723163417
kiss,mouse,4,193.742980495
kiss,mouse,8,110.540081309
kiss,mouse,16,89.49456415200001
kiss,mouse,32,51.985301121000006
kiss,mouse,64,50.276523001
kiss,mouse,128,45.065830823000006
kiss,zebrafish,4,117.67720693700001
kiss,zebrafish,8,67.15387056200001
kiss,zebrafish,16,54.266642062
kiss,zebrafish,32,31.595589401
kiss,zebrafish,64,30.399990036000002
kiss,zebrafish,128,27.308636743
kiss,dna,4,6.7924431190000005
kiss,dna,8,3.8077710220000003
kiss,dna,16,2.635785524
kiss,dna,32,1.651760936
kiss,dna,64,1.460403866
kiss,dna,128,1.4009581400000002
kiss,protein,4,8.545660233000001
kiss,protein,8,4.776604784
kiss,protein,16,3.080367786
kiss,protein,32,1.949197319
kiss,protein,64,1.6819821750000001
kiss,protein,128,1.451854172
kiss,hs37d5,4,222.76433099800002
kiss,hs37d5,8,125.09536545
kiss,hs37d5,16,103.878576894
kiss,hs37d5,32,59.23112908700001
kiss,hs37d5,64,57.515877465
kiss,hs37d5,128,52.05167581800001
kiss,mouse,4,197.248852626
kiss,mouse,8,112.407462049
kiss,mouse,16,91.37033432800001
kiss,mouse,32,52.582708608000004
kiss,mouse,64,50.360202992000005
kiss,mouse,128,48.711776002
kiss,zebrafish,4,117.856249046
kiss,zebrafish,8,66.905482973
kiss,zebrafish,16,54.742496993
kiss,zebrafish,32,31.865538749000002
kiss,zebrafish,64,30.363650921
kiss,zebrafish,128,27.154542101
kiss,dna,4,6.835629614
kiss,dna,8,3.7646940410000003
kiss,dna,16,2.679594212
kiss,dna,32,1.609811147
kiss,dna,64,1.454765558
kiss,dna,128,1.4700451790000002
kiss,protein,4,8.794418845000001
kiss,protein,8,4.478891437000001
kiss,protein,16,2.9707779110000003
kiss,protein,32,1.993577986
kiss,protein,64,1.66763594
kiss,protein,128,1.4346756850000002
