algo,test,k,num-threads,time,space
kiss-1,chm13v2.0,256,16,35.673561518,16445026304
kiss-1,chm13v2.0,256,32,28.857456417,16515641344
kiss-1,chm13v2.0,256,64,29.072199679,16656461824
kiss-1,chm13v2.0,256,128,34.491989528000005,16938827776
kiss-1,mouse,256,16,33.787166213,14402400256
kiss-1,mouse,256,32,29.438869962000002,14472720384
kiss-1,mouse,256,64,31.46512106,14613794816
kiss-1,mouse,256,128,44.817241753000005,14895730688
kiss-1,zebrafish,256,16,19.546002967,8895062016
kiss-1,zebrafish,256,32,15.748774674000002,8965398528
kiss-1,zebrafish,256,64,16.774344446,9106440192
kiss-1,zebrafish,256,128,19.523123948000002,9388253184
kiss-1,chm13v2.0,256,16,36.453212197,16444940288
kiss-1,chm13v2.0,256,32,28.854820519,16515485696
kiss-1,chm13v2.0,256,64,29.466045435,16656302080
kiss-1,chm13v2.0,256,128,35.10031634,16938803200
kiss-1,mouse,256,16,34.617015232,14402326528
kiss-1,mouse,256,32,29.643053361000003,14472949760
kiss-1,mouse,256,64,31.083986271,14613958656
kiss-1,mouse,256,128,43.973687547000004,14895689728
kiss-1,zebrafish,256,16,19.774636301,8894930944
kiss-1,zebrafish,256,32,16.034050689,8965357568
kiss-1,zebrafish,256,64,16.9851788,9106333696
kiss-1,zebrafish,256,128,19.218251814000002,9388408832
kiss-1,chm13v2.0,256,16,36.432126092000004,16444989440
kiss-1,chm13v2.0,256,32,28.638977479,16515457024
kiss-1,chm13v2.0,256,64,29.216562006,16656646144
kiss-1,chm13v2.0,256,128,33.630774026000005,16938823680
kiss-1,mouse,256,16,34.366446347,14402334720
kiss-1,mouse,256,32,29.438411071,14472949760
kiss-1,mouse,256,64,31.513171577,14613790720
kiss-1,mouse,256,128,46.53023609,14896214016
kiss-1,zebrafish,256,16,19.532514575,8895062016
kiss-1,zebrafish,256,32,15.994524786000001,8965472256
kiss-1,zebrafish,256,64,16.96681896,9106419712
kiss-1,zebrafish,256,128,20.834940890000002,9388306432
kiss-2,chm13v2.0,256,16,47.749046129,15987773440
kiss-2,chm13v2.0,256,32,39.323166056000005,16058200064
kiss-2,chm13v2.0,256,64,39.932063244000005,16199651328
kiss-2,chm13v2.0,256,128,47.658122464,16481280000
kiss-2,mouse,256,16,43.297071324,14006935552
kiss-2,mouse,256,32,38.167702209000005,14077005824
kiss-2,mouse,256,64,40.559651893,14218559488
kiss-2,mouse,256,128,59.796789007,14500298752
kiss-2,zebrafish,256,16,32.150949414,8653832192
kiss-2,zebrafish,256,32,26.137650661000002,8725032960
kiss-2,zebrafish,256,64,26.622846053,8874754048
kiss-2,zebrafish,256,128,32.421410717,9156841472
kiss-2,chm13v2.0,256,16,47.741971326000005,15987621888
kiss-2,chm13v2.0,256,32,39.011765397000005,16058187776
kiss-2,chm13v2.0,256,64,39.862397969,16199720960
kiss-2,chm13v2.0,256,128,48.155331146,16481337344
kiss-2,mouse,256,16,43.547952705,14006935552
kiss-2,mouse,256,32,37.991137079000005,14076915712
kiss-2,mouse,256,64,40.813265179000005,14218395648
kiss-2,mouse,256,128,59.33722782,14500315136
kiss-2,zebrafish,256,16,31.796789511000004,8653930496
kiss-2,zebrafish,256,32,26.214117712,8724955136
kiss-2,zebrafish,256,64,26.653092587000003,8874668032
kiss-2,zebrafish,256,128,33.397854535,9156571136
kiss-2,chm13v2.0,256,16,47.729019449000006,15987691520
kiss-2,chm13v2.0,256,32,39.371911675,16058077184
kiss-2,chm13v2.0,256,64,40.58676663,16199569408
kiss-2,chm13v2.0,256,128,48.068466917,16481390592
kiss-2,mouse,256,16,43.406654739000004,14006931456
kiss-2,mouse,256,32,38.115069633000005,14076964864
kiss-2,mouse,256,64,40.66025355,14218330112
kiss-2,mouse,256,128,58.185194541,14500352000
kiss-2,zebrafish,256,16,32.054182953,8654016512
kiss-2,zebrafish,256,32,26.285251142,8724922368
kiss-2,zebrafish,256,64,26.56758276,8874795008
kiss-2,zebrafish,256,128,31.709444599,9156837376
