algo,test,k,num-threads,time,space
pardss-32,zebrafish,,32,71.31584461,13549826048
pardss-32,human_protein_5640,,32,0.33271437200000004,93573120
pardss-32,mouse_protein_589,,32,0.343785218,98942976
pardss-32,zebrafish_protein_437,,32,0.44063350500000004,120786944
pardss-32,zebrafish,,32,71.663503766,13550206976
pardss-32,human_protein_5640,,32,0.332724426,95285248
pardss-32,mouse_protein_589,,32,0.333566348,97611776
pardss-32,zebrafish_protein_437,,32,0.44747302400000005,120905728
pardss-32,zebrafish,,32,71.532265256,13550350336
pardss-32,human_protein_5640,,32,0.33530423600000003,93736960
pardss-32,mouse_protein_589,,32,0.34191533,97619968
pardss-32,zebrafish_protein_437,,32,0.44436219600000004,120516608
libsais-32,zebrafish,-1,32,27.409314557000002,8407310336
libsais-32,human_protein_5640,-1,32,0.16025280900000002,68329472
libsais-32,mouse_protein_589,-1,32,0.16099205400000002,69799936
libsais-32,zebrafish_protein_437,-1,32,0.20673323500000002,86962176
libsais-32,zebrafish,-1,32,27.3863522,8407232512
libsais-32,human_protein_5640,-1,32,0.159954589,68104192
libsais-32,mouse_protein_589,-1,32,0.16066760300000002,70053888
libsais-32,zebrafish_protein_437,-1,32,0.20903189300000002,86933504
libsais-32,zebrafish,-1,32,27.454546759000003,8407277568
libsais-32,human_protein_5640,-1,32,0.15840705200000002,68194304
libsais-32,mouse_protein_589,-1,32,0.16196907700000002,70000640
libsais-32,zebrafish_protein_437,-1,32,0.21113383800000002,87052288
